,Title,Location,Price,Link,Company,date,Meta Data
0,CDL A Driver-Reefer or Flatbed Driver,"                       Gainesville, GA.                   ",$0,https://atlanta.craigslist.org/nat/trp/d/gainesville-cdl-driver-reefer-or/7713287606.html,":""Freedom Trans Dedicated""",2024-02-01 08:02,"""jobLocation"":""geo"":""@type"":""GeoCoordinates"",""latitude"":""34.307300"",""longitude"":""-83.825600""},""address"":""addressRegion"":""GA"",""addressLocality"":""Gainesville"",""streetAddress"":""905 Grove Street"",""postalCode"":""30503"",""addressCountry"":""US"",""@type"":""PostalAddress""},""@type"":""Place""},""title"":""CDL A Driver-Dry Van Regonial"",""@type"":""JobPosting"",""employmentType"":""FULL_TIME"",""description"":""Freedom Trans Dedicated is a Progressively Growing, Financially Stable, and Diversified Transportation Company.<br>\n<br>\nAt Freedom Trans Dedicated, we are committed to the Safety and Success of our Professional Drivers.<br>\n<br>\nWe believe Hiring and Retaining the Best Professional Drivers ensures our Company’s Future, Protects the Motoring Public, and Guarantees our Customer’s Freight will be Delivered On-Time.<br>\n<br>\nOur Drivers are treated with Dignity and Respect, just like a member of our Family.<br>\n<br>\nWe now have<br>\n<br>\n$3,000.00 SIGN-ON BONUS FOR ALL DRIVERS!<br>\n<br>\nHere is what YOU can expect:<br>\n<br>\n• To be Treated with Dignity and Respect<br>\n• Great Pay- We offer Percentage and a Per Diem Option as well.<br>\n• New Equipment- Kenworth/Peterbilt Tractors with Automatic Transmissions, APU’s, Inverters, Fridges, and EpicVue<br>\nTV/Subscription FREE!<br>\n• Weekly Home Time<br>\n• Full Benefits Package including Life Insurance and 401k<br>\n• Safety and Monthly Mileage Bonuses<br>\n• 100% E-Log compliant. We Run Legal<br>\n• Rider and Pet Policy Available<br>\n• Detention/Lay-Over Pay<br>\n• Elite Pass<br>\n<br>\nHere is what WE expect:<br>\n<br>\n• Minimum Age 23 with Class A CDL<br>\n• Minimum 6 months of Recent and Verifiable OTR/Regional experience<br>\n• Acceptable Safety record concerning Preventable Accidents, Traffic Violations, and Roadside Inspections<br>\n• No Serious Violations or Accidents<br>\n• Stable Work History<br>\n• No Drug or Alcohol issues<br>\n• Friendly, Reliable, Courteous, Honest, and Patient<br>\n• Good Decision Maker<br>\n• Safety Minded<br>\n<br>\n*Our Safety Rating with the Department of Transportation is SATISFACTORY.<br>\n<br>\nWebsite: https://freedomtransusa.com<br>\nApply: https://intelliapp.driverapponline.com/c/freedomtransusa?uri_b=ia_freedomtransusa_49303669<br>\nCall: Tammy Bennett 678-207-0959 ext. 1780<br>\n"",""validThrough"":""2024-03-02"",""@context"":""http://schema.org"",""hiringOrganization"":""@type"":""Organization"",""name"":""Freedom Trans Dedicated""},""datePosted"":""2024-02-01T13:02:28+0000""}"
1,Class A Driver Flatbed/Reefer,                       Gainesville                   ,$0,https://chattanooga.craigslist.org/trp/d/gainesville-class-driver-flatbed-reefer/7713287505.html,,2024-02-01 08:01,[]
2,Class A Driver Flatbed/Reefer,                       Gainesville                   ,$0,https://greenville.craigslist.org/trp/d/conestee-class-driver-flatbed-reefer/7713287399.html,,2024-02-01 08:01,[]
3,Class A Driver Flatbed or Reefer,                       Gainesville                   ,$0,https://athensga.craigslist.org/trp/d/athens-class-driver-flatbed-or-reefer/7713287320.html,,2024-02-01 08:01,[]
4,"CDL-A Solo Company Driver - $1,650 Sign-On Bonus","                       Auburn University, AL                   ",$0,https://auburn.craigslist.org/trp/d/auburn-university-cdl-solo-company/7713279728.html,,2024-02-01 06:00,[]
5,"CDL-A Solo Company Driver - $1,650 Sign-On Bonus","                       Jackson, TN                   ",$0,https://jacksontn.craigslist.org/trp/d/jackson-cdl-solo-company-driver-sign-on/7713279719.html,,2024-02-01 06:00,[]
6,"CDL - A Solo Company Driver - $1,650 Sign On Bonus!","                       Cincinnati, OH                   ",$0,https://cincinnati.craigslist.org/trp/d/cincinnati-cdl-solo-company-driver-sign/7713279718.html,,2024-02-01 07:00,[]
7,"CDL - A Solo Company Driver - $1,650 Sign On Bonus","                       Little Rock, AR                   ",$0,https://littlerock.craigslist.org/trp/d/little-rock-cdl-solo-company-driver/7713279724.html,,2024-02-01 06:00,[]
8,"CDL - A - Solo Company Driver - $1,650 Sign On Bonus!","                       Champaign, IL                   ",$0,https://chambana.craigslist.org/trp/d/champaign-cdl-solo-company-driver-sign/7713279725.html,,2024-02-01 06:00,[]
9,"CDL - A Solo Company Driver - $1,650 Sign On Bonus!","                       Saint Louis, MO                   ",$0,https://stlouis.craigslist.org/trp/d/saint-louis-cdl-solo-company-driver/7713279723.html,,2024-02-01 06:00,[]
